100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Actual,01/01/1897 - Current,
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,2,Mobile Campus (Pharmacy),"USA Rsch Park 650 Clinic Drive, Rm 2100",Mobile,AL,"""36688-0002""",,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Estimated,07/01/2007 - Current,
101019,Arizona State University,P.O. Box 2203,Tempe,AZ,"""85287""",480-965-9011,"""00108100""",104151,www.asu.edu,2,Arizona State University at the Downtown Phoenix Campus,411 N. Central Ave,Phoenix,AZ,"""85004""",448886,Institutional,"North Central Association of Colleges and Schools, The Higher Learning Commission",,,Accredited,Actual,08/21/2006 - Current,
101037,University of Arizona,1401 E University,Tucson,AZ,"""85721-0066""",520-621-2211,"""00108300""",104179,www.arizona.edu,2,University of Arizona - University of Arizona South,1140 N. Colombo Ave.,Sierra Vista,AZ,"""85635""",,Institutional,"North Central Association of Colleges and Schools, The Higher Learning Commission",,,Accredited,Actual,08/12/1993 - Current,
101718,"University of Arkansas, Fayetteville",Administration Bldg. 425,Fayetteville,AR,"""72701""",479-575-4148,"""00110800""",106397,www.uark.edu,2,"University of Arkansas, Fayetteville at Arkansas Northeastern College",2501 South Division St.,Blytheville,AR,"""72315""",,Institutional,"North Central Association of Colleges and Schools, The Higher Learning Commission",,,Accredited,Actual,08/19/2003 - Current,
102793,California Institute of Technology,1200 E California Blvd,Pasadena,CA,"""91125""",626-395-6811,"""00113100""",110404,www.caltech.edu,,,,,,,,Institutional,"Western Association of Schools and Colleges, Senior College and University Commission",,,Accredited,Actual,01/31/1949 - Current,
103015,University of California - Berkeley,200 California Hall,Berkeley,CA,"""94720""",510-642-6000,"""00131200""",110635,www.berkeley.edu,,,,,,,,Institutional,"Western Association of Schools and Colleges, Senior College and University Commission",,,Accredited,Actual,01/01/1949 - Current,
103024,University of California - Davis,One Shields Avenue,Davis,CA,"""95616-8678""",530-752-1011,"""00131300""",110644,www.ucdavis.edu,2,UC Davis Medical Center,2315 Stockton Blvd.,Sacramento,CA,"""95817""",,Internship/Residency,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",,Dietetics (DIETI) - Dietetic Internship,Accredited,Actual,04/24/2007 - Current,
103042,University of California - Los Angeles,405 Hilgard Ave,Los Angeles,CA,"""90095""",310-825-4321,"""00131500""",110662,www.ucla.edu,,,,,,,,Institutional,"Western Association of Schools and Colleges, Senior College and University Commission",,,Accredited,Actual,02/28/1949 - Current,
103051,University of California - Riverside,900 University Ave,Riverside,CA,"""92521""",951-827-1012,"""00131600""",110671,WWW.UCR.EDU,,,,,,,,Institutional,"Western Association of Schools and Colleges, Senior College and University Commission",,,Accredited,Actual,01/31/1956 - Current,
103060,University of California - San Diego,9500 Gilman Dr,La Jolla,CA,"""92093""",858-534-2230,"""00131700""",110680,www.ucsd.edu,,,,,,,,Institutional,"Western Association of Schools and Colleges, Senior College and University Commission",,,Accredited,Actual,05/31/1964 - Current,
103088,University of California - Santa Barbara,UC Santa Barbara,Santa Barbara,CA,"""93106""",805-893-8000,"""00132000""",110705,www.ucsb.edu,,,,,,,,Institutional,"Western Association of Schools and Colleges, Senior College and University Commission",,,Accredited,Actual,02/28/1949 - Current,
103097,University of California - Santa Cruz,1156 High St,Santa Cruz,CA,"""95064""",831-459-0111,"""00132100""",110714,www.ucsc.edu/visitors/,,,,,,,,Institutional,"Western Association of Schools and Colleges, Senior College and University Commission",,,Accredited,Actual,01/31/1965 - Current,
106245,San Diego State University,5500 Campanile Dr,San Diego,CA,"""92182""",619-594-5000,"""00115100""",122409,www.sdsu.edu,2,Imperial Valley Campus,720 Heber Ave,Calexico,CA,"""92231""",441186,Institutional,"Western Association of Schools and Colleges, Senior College and University Commission",,,Accredited,Actual,03/28/1998 - Current,
106254,University of San Diego,5998 Alcala Park,San Diego,CA,"""92110-2492""",619-260-4600,"""01039500""",122436,www.sandiego.edu,,,,,,,,Institutional,"Western Association of Schools and Colleges, Senior College and University Commission",,,Accredited,Actual,03/31/1956 - Current,
106467,Santa Clara University,500 El Camino Real,Santa Clara,CA,"""95053""",408-554-4000,"""00132600""",122931,www.scu.edu,2,Jesuit School of Theology at Santa Clara University,1735 Leroy Ave,Berkeley,CA,"""94709-1193""",116624,Institutional,"Western Association of Schools and Colleges, Senior College and University Commission",,,Accredited,Actual,06/30/1971 - Current,
106801,University of Southern California,University Park,Los Angeles,CA,"""90089""",213-740-2311,"""00132800""",123961,www.usc.edu/,2,USC Health Sciences Campus,University of Southern California,Los Angeles,CA,"""90033""",,Specialized,"American Physical Therapy Association, Commission on Accreditation in Physical Therapy Education",,Physical Therapy (PT) - Professional programs for the physical therapist,Accredited,Actual,06/30/1946 - Current,
107363,University of Colorado at Boulder,17 UCB,Boulder,CO,"""80309-0017""",303-492-1411,"""00137000""",126614,www.colorado.edu,,,,,,,,Institutional,"North Central Association of Colleges and Schools, The Higher Learning Commission",,,Accredited,Estimated,01/01/1913 - Current,
107433,Colorado School of Mines,1500 Illinois St,Golden,CO,"""80401""",303-273-3200,"""00134800""",126775,www.mines.edu,,,,,,,,Institutional,"North Central Association of Colleges and Schools, The Higher Learning Commission",,,Accredited,Actual,01/01/1929 - 01/01/1935,Resigned
107451,Colorado State University,102 Administration Building,Fort Collins,CO,"""80523-0100""",970-491-1101,"""00135000""",126818,www.colostate.edu,2,Colorado State University at Brighton Learning Center,1850 Egbert St,Brighton,CO,"""80601""",,Institutional,"North Central Association of Colleges and Schools, The Higher Learning Commission",,,Accredited,Actual,10/02/2009 - Current,
